,Title,Authors,Year
1369,X-Men Epic Collection Vol. 1: Children of the Atom,Stan Lee,2015
1370,Building Emotional Intelligence: Techniques to Cultivate Inner Strength in Children [With CD],Linda Lantieri,2008
1371,The Oxford Illustrated Book of American Children's Poems,Donald Hall,1999
1372,Give Them Jesus: Raising Our Children on the Core Truths of the Christian Faith,Dillon T. Thornton,-1
1373,On Our Way to Oyster Bay: Mother Jones and Her March for Children's Rights,Monica Kulling,2016
1374,When The Children Came Home: Stories Of Wartime Evacuees,Julie Summers,2011
1375,Spare the Kids: Why Whupping Children Won't Save Black America,Stacey Patton,-1
1376,Children of the City,David Nasaw,1985
1377,"In Destiny's Hands: Five Tragic Rulers, Children of Maria Theresa",Justin C. Vovk,2009
1378,"Bringing Up Kids Without Tearing Them Down: How to Raise Confident, Successful Children",Kevin Leman,1993
1379,"The Cyber Effect: An Expert in Cyberpsychology Explains How Technology Is Shaping Our Children, Our Behavior, and Our Values--And What We Can Do about It",Mary Aiken,2016
1380,"Brúðan (Children's House, #5)",Yrsa Sigurðardóttir,-1
1381,"The Pumpkin Head Mystery (The Boxcar Children, #124)",Gertrude Chandler Warner,2010
1382,"The Cupcake Caper (The Boxcar Children, #125)",Gertrude Chandler Warner,2010
1383,We've Got Issues: Children and Parents in the Age of Medication,Judith Warner,2010
1384,Growing Up Global: Raising Children to Be At Home in the World,Homa Sabet Tavangar,2009
1385,"The Vampire Mystery (The Boxcar Children, #120)",Gertrude Chandler Warner,2009
1386,"The Secret of the Mask (The Boxcar Children, #110)",Gertrude Chandler Warner,2007
1387,The Art of Miss Peregrine's Home for Peculiar Children,Leah Gallo,-1
1388,"The Windy City Mystery (The Boxcar Children Special, #10)",Gertrude Chandler Warner,1998
1389,"The New Six-Point Plan for Raising Happy, Healthy Children",John Rosemond,1989
1390,31 Days of Praying God's Wisdom for My Children: Moms Gathering God's Valuable Wisdom from the Book of Proverbs and persistently covering Our Precious Children in Prayer,Hope McCardy,-1
1391,Something is Killing the Children Vol. 1,James Tynion IV,-1
1392,"Terraria: Diary of a Terraria Noob (Terraria Diaries, Terraria Books, Terraria Books for Children, Terraria Books for Kids, Terraria Stories, Terraria Noob)",Miner Bro,2015
1393,The Night Before Christmas: A Children's  Christmas Poem about the Birth of Jesus.,Merry Celeste Murray,2011
1394,The Undoing: The uncertain nights of the Peterson children,Gloria Watson,2014
1395,"The Forgotten Children (Don't Tell Meg Trilogy, #3)",Paul J. Teague,-1
1396,Children of the Night: Classic Vampire Stories,David Stuart Davies,2007
1397,A Nightmare on Elm Street: Suffer the Children,David Bishop,2005
1398,The Children of Castle Rock,Natasha Farrant,2018
1399,Vincent's Starry Night and Other Stories: A Children's History of Art,Michael Bird,2016
1400,Free the Children: A Young Man Fights Against Child Labor and Proves that Children Can Change the World,Craig Kielburger,1998
1401,Cruel World: The Children of Europe in the Nazi Web,Lynn H. Nicholas,2005
1402,Inherited Magick: The Children of Dark Root: Book One,April Aasheim,-1
1403,"Children of Thorns, Children of Water (Dominion of the Fallen, #1.5)",Aliette de Bodard,2017
1404,Children of the After: The Complete Series,Jeremy Laszlo,2014
1405,Awkward Moments (Not Found in Your Average) Children's Bible - Volume #1: Illustrating the Bible Like You've Never Seen Before!,Horus Gilgamesh,2013
1406,"Hammer Down (Children of the Undying, #1)",Moira Rogers,2012
1407,"365 Manners Kids Should Know: Games, Activities, and Other Fun Ways to Help Children Learn Etiquette",Sheryl Eberly,2001
1408,Those Dreadful Children,Enid Blyton,1949
1409,Diary of a Super Spy 4: Space! (An hilarious adventure for children aged 7 - 12),Peter Patrick,2015
1410,Babies for Sale: The Tennessee Children's Home Adoption Scandal,Linda Tollett Austin,1993
1411,Stories for Children,Isaac Bashevis Singer,1984
1412,The Garden Thief (The Boxcar Children Mysteries #130),Gertrude Chandler Warner,2012
1413,How Children Learn the Meanings of Words,Paul Bloom,2000
1414,"Superstar Watch (The Boxcar Children, #121)",Gertrude Chandler Warner,2009
1415,Loose Parts: Inspiring Play in Young Children,Lisa Daly,2014
1416,"Children of the Sea, Volume 5 (Children of the Sea, #5)",Daisuke Igarashi,2007
1417,The Norton Anthology of Children's Literature: The Traditions in English,Jack D. Zipes,2005
1418,You Are the Mother Your Children Need,Christie Gardiner,-1
1419,Theodore Roosevelt's Letters to His Children,Theodore Roosevelt,1919
1420,"North Star Guide Me Home (Children of the Black Sun, #3)",Jo Spurrier,2014
1421,"Thriving with ADHD Workbook for Kids: 60 Fun Activities to Help Children Self-Regulate, Focus, and Succeed",Kelli Miller LCSW MSW,-1
1422,"Deadmarsh Fey (Dwellers of Darkness, Children of Light #1)",Melika Dannese Hick,-1
1423,Elsie's Children (The Original Elsie Classics #6),Martha Finley,2000
1424,Praying Circles Around the Lives of Your Children,Mark Batterson,2014
1425,Children of the Dragon,Frank S. Robinson,1978
1426,Monkey Trouble (The Boxcar Children Mysteries #127),Gertrude Chandler Warner,2011
1427,Children of Another God,T.C. Southwell,2010
1428,Machiavelli for Moms: Maxims on the Effective Governance of Children*,Suzanne  Evans,2013
1429,Children's Literature: A Very Short Introduction,Kimberley Reynolds,2011
1430,Hannibal's Children,John Maddox Roberts,2002
1431,A Child's Book of Dog Body Language with Pictures: Help Keep Children Safe,Amber Richards,2013
1432,Wild Children,Richard  Roberts,2011
1433,The Children of Light and the Children of Darkness: A Vindication of Democracy and a Critique of its Traditional Defense,Reinhold Niebuhr,1950
1434,A Dog's Gift: The Inspirational Story of Veterans and Children Healed by Man's Best Friend,Bob Drury,2015
1435,Becoming a Present Parent: Connecting with Your Children in 5 Minutes or Less,Mary Ann   Johnson,-1
1436,Children’s Minds,Margaret Donaldson,1978
1437,Torpedoed!: A World War II Story of a Sinking Passenger Ship and Two Children's Survival at Sea,Cheryl Mullenbach,-1
1438,"The Clue in the Recycling Bin (The Boxcar Children, #126)",Gertrude Chandler Warner,2011
1439,Children of the Thunder,John Brunner,1988
1440,"Dear Parents: Letters from the Teacher—your children, their education, and how you can help",Gabbie Stroud,2020
1441,Alphabeti-cool: Children's painted ABC book,Rebecca Bielawski,2013
1442,Chicken Soup for the Soul: Children with Special Needs: Stories of Love and Understanding for Those Who Care for Children with Disabilities,Jack Canfield,2007
1443,"The Home Run Mystery (The Boxcar Children Special, #14)",Gertrude Chandler Warner,2000
1444,"Eternal Guardian (Children of the Goddess, #4.5)",R.G. Alexander,2011
1445,Collected Children's Stories,Sylvia Plath,2001
1446,Precious Angels: A True Story of Two Slain Children and a Mother Convicted of Murder,Barbara Davis,1999
1447,"I Wrote You a Note: (Children's Friendship Books, Animal Books for Kids, Rhyming Books for Kids)",Lizi Boyd,2017
1448,The Kindness of Strangers: The Abandonment of Children in Western Europe from Late Antiquity to the Renaissance,John Boswell,1988
1449,The Children's Machine: Rethinking School In The Age Of The Computer,Seymour Papert,1993
1450,"Stabbed in the Heart: Three Murdered Children, Two Resilient Mothers",Lynn Shiner,2013
1451,"Kids for Cash: Two Judges, Thousands of Children, and a $2.6 Million Kickback Scheme",William Ecenbarger,2012
1452,"I’m a Dragon Today: Sometime parents can be ""creative"" too! (Bedtimes Story Fiction Children's Picture Book Book 3)",Sigal Adler,2018
1453,The Merman's Children,Poul Anderson,1979
1454,King Arthur and His Knights,James Knowles,1860
1455,"Children of Bacchus (Satyr, #1)",Andrew  Grey,2008
1456,Should We Burn Babar?: Essays on Children's Literature and the Power of Stories,Herbert R. Kohl,1995
1457,Extinction of All Children,L.J. Epps,2016
1458,"The Temperament God Gave Your Kids: Motivate, Discipline, and Love Your Children",Art Bennett,2012
1459,Black Eyed Children (Black Eyed Children #1),Sara Clancy,2017
1460,"Children of Sun and Moon (Skyfall, #1)",Matt Larkin,2012
1461,Literacy with an Attitude: Educating Working-Class Children in Their Own Self-Interest,Patrick J. Finn,1999
1462,The Golden Children's Bible,Anonymous,1962
1463,"Theodora's Children (Tales of Hope, #2)",Rick Nau,-1
1464,How To Raise Emotionally Healthy Children: Meeting The Five Critical Needs of Children...and Parents Too! Updated Edition [Kindle Edition],Gerald Newmark,1999
1465,Four More Fantastic Bedtime Stories for Children 3-6 (Four Fantastic Bedtime Stories Book 2),Scott  Gordon,2012
1466,The Devil's Children,Peter Dickinson,1970
1467,Many Ways to See the Sun: Nature Meditation for Children and the Adults Who Love Them,Brooke Dierkhising,2015
1468,From Diapers to Dating: A Parent's Guide to Raising Sexually Healthy Children,Debra W. Haffner,1999
1469,Across Time And Death: A Mother's Search For Her Past Life Children,Jenny Cockell,1994
1470,Children of the Lost (The Agora Trilogy #2),David Whitley,2010
1471,"Kagerou Daze, Vol. 3: The Children Reason (Kagerou Daze Light Novels, #3)",Jin (Shizen no Teki-P),2013
1472,The Gender Creative Child: Pathways for Nurturing and Supporting Children Who Live Outside Gender Boxes,Diane Ehrensaft,2016
1473,"The Ghost at the Drive-In Movie (The Boxcar Children, #116)",Gertrude Chandler Warner,2008
1474,Educating All God’s Children: What Christians Can--and Should--Do to Improve Public Education for Low-Income Kids,Nicole Baker Fulgham,2013
1475,"This Star Shall Abide (Children of the Star, #1)",Sylvia Engdahl,1972
1476,"Raising America: Experts, Parents, and a Century of Advice About Children",Ann Hulbert,2003
1477,"Ashlynn's Dreams (Devya's Children, #1)",Julie C. Gilbert,2010
1478,Global Baby Girls,Global Fund for Children,2013
1479,Children of Morrow,Helen Mary Hoover,1985
1480,The Children's Book of Christmas Stories,Asa Don Dickinson,1913
1481,Trial of the Chosen (Children of the Prime #2),T.C. Edge,-1
1482,"The Boardwalk Mystery (The Boxcar Children, #131)",Gertrude Chandler Warner,2013
1483,Are You My Wine?: A Children's Book Parody for Adults Exploring the World of Wine,Reese Ling,-1
1484,All My Stripes: A Story for Children with Autism,Shaina Rudolph,2015
1485,The Energetic Keys to Indigo Kids: Your Guide to Raising and Resonating With the New Children,Maureen  Healy,2013
1486,Children of the Comet,Donald Moffitt,2015
1487,Pomodoro Penguin Makes a Friend: a picture book for children ages 4-6 about friendship and respect (The Adventures of Pomodoro Penguin Children's Early Learning Book for Beginning Readers 1),Bryce Westervelt,2013
1488,Dr. Doolittle (Original Illustrations & Text) (Classic Books for Children),Hugh Lofting,1920
1489,The Lost Flower Children,Janet Taylor Lisle,1999
1490,Children Of Tomorrow,A.E. van Vogt,1970
1491,The Lost Children (Oonagh O'Neil #1),Theresa Talbot,-1
1492,Falcondell: The Devil's Son (The Devil's Children #1),S.J. Crabb,-1
1493,"The Clan of the Cave Bear, Part 2 of 2 (Earth's Children, #1)",Jean M. Auel,-1
1494,Children of the Living God,Sinclair B. Ferguson,1987
1495,The King of Children: The Life and Death of Janusz Korczak,Betty Jean Lifton,1988
1496,Dear Laura: Letters from Children to Laura Ingalls Wilder,Laura Ingalls Wilder,1996
1497,"Morning Sun (Children of Nostradamus, #0)",Jeremy Flagg,-1
1498,Midnight and Moonlight: A Children's Picture Book,Peggy Sullivan,2015
1499,A Broken Flute: The Native Experience in Books for Children,Doris Seale,2005
1500,To My Children's Children,Sindiwe Magona,1990
1501,The TOON Treasury of Classic Children's Comics,Art Spiegelman,2009
1502,Children of the Plantation,Faith Mortimer,2011
1503,"Rebekah - Girl Detective Books 1-8: Fun Short Story Mysteries for Children Ages 9-12 (The Mysterious Garden, Alien Invasion, Magellan Goes Missing, Ghost Hunting,Grown-Ups Out To Get Us?! + 3 more!)",P.J. Ryan,2013
1504,Bury The Children in the Yard,Andersen Prunty,2012
1505,Game on Boys 2: Minecraft Madness: A hilarious action adventure for children 9-12 with cartoons. (Game on Boys Series),Kate  Cullen,2015
1506,100+ Halloween Jokes for Kids: Funny Halloween Joke Book for Children (Funny Halloween Joke Book for Kids-Children),Johnny B. Laughing,2014
1507,"The Challenging Child: Understanding, Raising, and Enjoying the Five ""Difficult"" Types of Children",Stanley I. Greenspan,1995
1508,A Life Like Mine: How Children Live Around the World,UNICEF,2002
1509,Lycanthia: or The Children of Wolves,Tanith Lee,1981
1510,Thrice Told Tales: Children's Fables and Folk Tales,Karl F. Hollenbach,2014
1511,The Murder of Wednesday's Children,N.S. Patrick,2014
1512,The Children At Green Meadows,Enid Blyton,1974
1513,Meet the Boxcar Children,Gertrude Chandler Warner,1998
1514,"The Clay Queen (The Children of Clay, #1)",Ono Ekeh,2017
1515,Oliver + S Little Things to Sew: 20 Classic Accessories and Toys for Children,Liesl Gibson,2011
1516,If the Buddha Had Kids: Raising Children to Create a More Peaceful World,Charlotte Kasl,2012
1517,The Feral Children: Animals,David A. Simpson,-1
1518,"Nobodaddy's Children: Scenes from the Life of a Faun, Brand's Heath, Dark Mirrors",Arno Schmidt,1963
1519,PURR! A Children's Book About Cats,Andrea M. Nelson-Royes,2015
1520,The Forgotten (The Lost Children #1),Jennifer Sivec,-1
1521,50 Fun Stories for 3-7 Year Olds & Games (Children's Picture Book Perfect for Bedtime & Young Readers),Sharlene Alexander,2012
1522,"Stress Free Kids: A Parent's Guide to Helping Build Self-Esteem, Manage Stress, and Reduce Anxiety in Children",Lori Lite,2013
1523,"Little Caterpillar And Cricket (Noisy Farm - A Beautifully Illustrated Children's Picture Book, Perfect Bedtime Story)",Beáta Noémi Bálint,2012
1524,Colin McCool and the Vampire Dwarf (Colin McCool Children's Fantasy Book Series),M.D. Massey,2012
1525,"Prophecy (The Children of the White Lions, #2)",R.T. Kaelin,2012
1526,A Kind and Just Parent: The Children of Juvenile Court,Bill Ayers,1997
1527,The MoneySmart Family System: Teaching Financial Independence to Children of Every Age,Steve Economides,2012
1528,A Max Lucado Children's Treasury: A Child's First Collection,Max Lucado,2007
1529,Riddles For Kids: Over 300 Riddles and Jokes for Children,M. Prefontaine,-1
1530,"Fairy Stories & Fairy Stories: Traditional Tales for Children, Contemporary Tales for Adults",Clive Johnson  Frgs,-1
1531,Let the Rain Fall Down: Qi Gong Song and Book for Children,Donna Henderson,2015
1532,Late-Talking Children,Thomas Sowell,1997
1533,Childhood Under Siege: The Corporate Assault on Children and What We Can Do to Stop It,Joel Bakan,2011
1534,"The Black Widow Spider Mystery (The Boxcar Children Special, #21)",Gertrude Chandler Warner,2003
1535,Children of Arnhem's Kaleidoscope,Graham   Wilson,2014
1536,The Isle of Children,Donald   Morrison,-1
1537,"Brave New Family: G.K. Chesterton on Men and Women, Children, Sex, Divorce, Marriage and the Family",G.K. Chesterton,1990
1538,The Life We Never Expected: Hopeful Reflections on the Challenges of Parenting Children with Special Needs,Andrew         Wilson,2015
1539,The Pirate's Children,Michael Lloyd,-1
1540,The Wolf Children (Inspector Stave Book 2),Cay Rademacher,2012
1541,"9X Fun: A Children's Picture Book That Makes Math Fun, With a Cartoon Story Format To Help Kids Learn The 9X Table; Educational Science (Math) Series",Sharon  Clark,2014
1542,Silly Scenarios for Silly Kids (Children's Would you Rather Game Book),Silly Willy,-1
1543,Awkward Moments (Not Found in Your Average) Children's Bible - Vol. 2,Horus Gilgamesh,2014
1544,"The Mother's Day Gift (Noisy Farm - A Beautifully Illustrated Children's Picture Book, Perfect Bedtime Story)",Bea Balint,2013
1545,Children's Bible in 365 Stories,Mary Batchelor,1985
1546,Between Two Worlds: The Inner Lives of Children of Divorce,Elizabeth Marquardt,2005
1547,The (Not) Sleepy Shark (Xist Children's Books),Tamia Sheldon,-1
1548,The Children of Wasafa: A Message to Gang Bangers,Jacqueline Pitts,2013
1549,"The Forgotten Milestone: A Children's Coloring & Activity Book for Pattern Recognition, an Essential Yet Overlooked Component of Childhood Development",Frank Otillio,-1
1550,"Feeding the Whole Family: Cooking with Whole Foods: More than 200 Recipes for Feeding Babies, Young Children, and Their Parents",Cynthia Lair,-1
1551,The Elephant in the Classroom: Helping Children Learn and Love Maths,Jo Boaler,2009
1552,All The Wild Children: A noir memoir,Josh Stallings,2013
1553,How to Raise Children for Christ: A Guide for Excellent Christian Parenting,Andrew Murray,1975
1554,Beyond Motherhood: Choosing Life Without Children,Jeanne Safer,1996
1555,"Beyond Consequences, Logic, and Control: A Love Based Approach to Helping Children With Severe Behaviors, Volume 2",Heather T. Forbes,2008
1556,Children of the Frost,Jack London,1902
1557,"Squeaky the Mouse: Short Stories, Games, and Jokes!",Uncle Amon,2015
1558,The Children of the Chieftain: Betrayed (Children of the Chieftain #1),Michael E. Wills,2015
1559,All the Lovely Children,Andrew Nance,2018
1560,"Mummy, Come Home: The True Story Of A Mother Kidnapped And Torn From Her Children",Oxana Kalemi,2008
1561,The Outdoor Life of Children: The Importance of Nature Study and Outdoor Activities (Charlotte Mason Topics Book 2),Charlotte M. Mason,2015
1562,"Run with the Moon (Children of the Moon, #0.5)",Lucy Monroe,2006
1563,Behavioral Intervention for Young Children with Autism: A Manual for Parents and Professionals,Stephen C. Luce,1996
1564,"This Is a Book for Parents of Gay Kids: A Question & Answer Guide to Everyday Life (Book for Parents of Queer Children, Coming Out to Parents and Family)",Dannielle Owens-Reid,2014
1565,Making Friends Is an Art!: A Children's Book on Making Friends,Julia Cook,2012
1566,The Pluto Enigma (Children of the Nan #1),Nick Oddo,2013
1567,Cherry Crow Children,Deborah Kalin,2015
1568,When My Worries Get Too Big! A Relaxation Book For Children Who Live With Anxiety,Kari Dunn Buron,2004
1569,Fifty Years of Begging: Dr. J. Calvitt Clarke and Christian Children's Fund,J. Calvitt Clarke III,-1
1570,The Island of Lost Children,Kim Batchelor,2013
1571,"Raven's Children (Sequoyah, #2)",Sabrina Chase,2012
1572,Born Believers: The Science of Children's Religious Belief,Justin L. Barrett,2012
1573,"The Children's Crusade (The Books of Magic, #3)",Carla Jablonski,1993
1574,The Mother of All Jobs: How to Have Children and a Career and Stay Sane,Christine Armstrong,-1
1575,The Children's Garden: Growing Food in the City,Carole Lexa Schaefer,-1
1576,Acquainted with the Night: A Parent's Quest to Understand Depression and Bipolar Disorder in His Children,Paul Raeburn,2004
1577,100 Best Poems for Children,Roger McGough,2001
1578,Provoke Not The Children,Michael W. Anderson,2013
1579,Future Wise: Educating Our Children for a Changing World,David Perkins,2014
1580,Flovely and Unicorn Erna: A modern fairy tale for children,Siegfried Freudenfels,-1
1581,"Fluffy the Kitten: Stories, Games, Jokes, and More!",Uncle Amon,2015
1582,From Cradle to Grave: Children Who Murder (Ready Research Book 2),Mindy M. Shelton,-1
1583,Swords in the Hands of Children: Reflections of an American Revolutionary,Jonathan Lerner,-1
1584,"The Return of the Graveyard Ghost (The Boxcar Children, #133)",Gertrude Chandler Warner,2013
1585,Children of the Shaman,Jessica Rydill,2001
1586,The Children of Kings,Dave Stern,2010
1587,"Discipline Without Distress: 135 Tools for Raising Caring, Responsible Children Without Time-Out, Spanking, Punishment, or Bribery",Judy Arnall,2007
1588,Killer Kids: Shocking True Stories Of Children Who Murdered Their Parents (True Crime,Clifford L. Linedecker,1993
1589,The Barefoot Book of Children,Tessa Strickland,-1
1590,One Last Kiss: The Chilling True Story of a Cheating Husband Who Murdered His Wife and Children,Michael W. Cuneo,2012
1591,"The Lucky Lizard: Short Stories, Games, Jokes, and More!",Uncle Amon,2015
1592,"My Mom is a Ninja! (Kids ""Ninja Mom"" Adventure Books, for children age Book 1)",Scout Walker,2013
1593,The Children of the Roses,Warren Adler,2004
1594,The Number Story 1 / The Number Story 2: Numbers Teach Children Their Number Names / Numbers Count with Children,Anna*,-1
1595,A Simple Formula for Raising Happy Children,Roger Herst,2013
1596,Children's Bible Comic Book Kings and prophets,"Matas, Toni",2010
1597,"Night Shadows (Children of Nostradamus, #2)",Jeremy Flagg,2017
1598,"Crockett Johnson and Ruth Krauss: How an Unlikely Couple Found Love, Dodged the FBI, and Transformed Children's Literature",Philip Nel,2012
1599,Herbal Healing for Children,Demetria Clark,2010
1600,The Children of Fi,Jeanne Bradford,-1
1601,The Robin and the Sparrow: A Book of Children's Poems,Dennis Canfield,-1
1602,What the Bible Says about Parenting: Biblical Principles for Raising Godly Children,John F. MacArthur Jr.,2000
1603,World Class: One Mother's Journey Halfway Around the Globe in Search of the Best Education for Her Children,Teru Clavel,-1
1604,Redirecting Children's Behavior,Kathryn J. Kvols,1997
1605,Sunflower Houses: Inspiration From the Garden--A Book for Children and Their Grown-Ups,Sharon Lovejoy,1991
1606,Love & Respect in the Family: The Respect Parents Desire; The Love Children Need,Emerson Eggerichs,2012
1607,Alice's Adventures In Wonderland & Through The Looking Glass-Comprising The Two Books,Lewis Carroll,1871
1608,"My Happy Place: A Children's Self-Reflection and Personal Growth Journal with Creative Exercises, Fun Activities, Inspirational Quotes, Gratitude, Dreaming, Goal Setting, Coloring in, and Much More",Sheleen Lepar,-1
1609,Children of Earthrise: Books 1-3,Daniel Arenson,-1
1610,Cameron Cowboys Bundle,Margaret Watson,-1
1611,The Twelve Steps Of Adult Children: Steps Workbook,Adult Children of Alcoholics World Service Organization,2007
1612,Oceans Of The World In Color: Marine Life and Oceanography for Children,Speedy Publishing,2014
1613,Dead Children Playing,Stanley Donwood,2007
1614,The Bobbsey Twins MEGAPACK ®: 15 Classic Children's Novels,Laura Lee Hope,2014
1615,Brothers of the Sword/Children of Time,Michael Reisig,2001
1616,Listen to the Children: How Empowering Students Can Fix Our Broken Schools,Stacy Pulice,-1
1617,The Goat Children,Jordan Elizabeth,-1
1618,"White Eyed Children of The East (The Otherworldly Operatives, #3)",S.B. Norton,-1
1619,"Children of Swan (The Land of Taron, #1)",Coral Walker,-1
1620,Mary Mary Quite: On Raising Children,Mary Huckstep,2014
1621,Children of the Seed (The Seed Trilogy Book 3),Erosa Knowles,-1
1622,Something is Killing the Children #2,James Tynion IV,-1
1623,Children of the Different,S.C. Flynn,-1
1624,"The Mystery of the Fallen Treasure (The Boxcar Children, #132)",Gertrude Chandler Warner,2013
1625,Secrets of Your Family Tree: Healing for Adult Children of Dysfunctional Families,Henry Cloud,1991
1626,It Hurts When I Poop! a Story for Children Who Are Scared to Use the Potty,Howard J. Bennett,2007
1627,Fruzzle's Mystery Talent: A Bed Time Fantasy Story for Children ages 3-10,Karen Brueggeman,2013
1628,A Volcano in My Tummy: Helping Children to Handle Anger,Eliane Whitehouse,1996
1629,Valor's Child (Children of Valor Book 1),Kal Spriggs,2017
1630,Gifts: Mothers Reflect on How Children with Down Syndrome Enrich Their Lives,Kathryn Lynard Soper,2006
1631,Parenting Gifted Kids: Tips for Raising Happy and Successful Children,James R. Delisle,2002
1632,Autism's Hidden Blessings:  Discovering God's Promises for Autistic Children and Their Families,Kelly Langston,2009
1633,The Poor Children,April  Ford,2015
1634,"バッカーノ！2001 The Children Of Bottle (Baccano!, #5)",Ryohgo Narita,2004
1635,"The Foster Children of Time (Temporal Affairs, Book 1)",Robert Schell,2014
1636,The Forgotten Children,David    Hill,2007
1637,Exceptional Children: An Introduction to Special Education,William L. Heward,1980
1638,Not in Your Genes: The Real Reasons Children Are Like Their Parents,Oliver James,2014
1639,Giorgie's Christmas Dinner (The Spiritual Heritage for Children Series#2),Joan E. Derrick,2017
1640,I Didn't Ask to Be Creative: [BEDTIME STORY FOR CHILDREN AGES 4-8],Dontavious Pittman,-1
1641,"The Chains of War (The Children of Telm, #3)",Dean F. Wilson,2014
1642,"Billy the Bug: Short Stories, Games, Jokes, and More!",Uncle Amon,2015
1643,"Minecraft: Book of Crafting (Book of Minecraft - Unofficial Minecraft Guides - Minecraft Books for kids, Minecraft Handbooks, Childrens minecraft books 1)",Jens Larrson,2014
1644,Recovery: A Guide for Adult Children of Alcoholics,Herbert L. Gravitz,1987
1645,"Children's Book: ""Just The Way I Am"" (How to Build Self Confidence & Self-Esteem in children's books for ages 2-8) (Interpersonal Skills for Leadership in Kids Collection)",Idan Hadari,2013
1646,How To Stop Enabling Your Adult Children: Practical steps to use boundaries and get your power back as you stop enabling (Empowering Change Book 1),Melody Devonish,2014
1647,"The Children of Lubrochius (From the Ashes of Ruin, #1)",Matthew D. Ryan,2014
1648,You're Going to Love This Kid!: Teaching Children with Autism in the Inclusive Classroom,Paula Kluth,2003
1649,Pushkin's Children: Writing on Russia and Russians,Tatyana Tolstaya,2003
1650,Five Little Children at the Zoo,Elvy P. Rolle,-1
1651,"The Eternal Kingdom (Children Trilogy, #3)",Ben Peek,2017
1652,No One Listened: Two children caught in a tragedy with no one else to trust except for each other,Isobel Kerr,2008
1653,Children To A Degree: Growing Up Under the Third Reich: Book 1,Horst Christian,-1
1654,The Meaning of Children,Beverly Akerman,2011
1655,"Terraria: Diary of a Terraria Noob 2 (Terraria Diaries, Terraria Books, Terraria Books for Children, Terraria Books for Kids, Terraria Stories, Terraria Noob)",Miner Bro,2015
1656,A Little Princess,Frances Hodgson Burnett,1905
1657,Eidi: The Children of Crow Cove,Bodil Bredsdorff,1995
1658,A Children's Treasury of Milligan: Classic Stories and Poems by Spike Milligan,Spike Milligan,1999
1659,After the Tears: Helping Adult Children of Alcoholics Heal Their Childhood Trauma,Jane Middelton-Moz,1986
1660,Goodnight Pumpkin ( A Gorgeous Illustrated Children's Picture Ebook for Ages 2-8 ),Sharlene Alexander,2013
1661,Replacement Children,Rick Maloy,2013
1662,The Executioner at the Institute for Contaminated Children,Margaret E. Alexander,2014
1663,X-Men: Children of the Atom,Joe Casey,2001
1664,"Twilight Children (Deathlands, #21)",James Axler,1994
1665,The Children of The Law of One & The Lost Teachings of Atlantis,Jon Peniel,1997
1666,101 Tips for Parents of Children with Autism: Effective Solutions for Everyday Challenges,Theresa C.  Smith,2014
1667,Flash Tales: A Collection of Short Stories for Children,Chess Desalls,-1
1668,Bruecke to Heaven: Children of the Light,Timothy W. Tron,2012
1669,What the Dormouse Said: Lessons for Grown-ups from Children's Books,Amy Gash,1999
1670,"The Silent Dragon (Children of The Dragon Nimbus, #1)",Irene Radford,2013
1671,The Box Children,Sharon Wyse,2002
1672,"Children's Spanish book: ""No quiero dormir"" :Libro en Español niños 3-8 Cuento para Dormir (cuentos infantiles español) Picture book early ... kids (Children's ESL Books Spanish nº 3)",Adler Sigal,-1
1673,"He's A Magic Man (Children of Merlin, #2)",Susan Squires,2012
1674,The Moral Intelligence of Children: How to Raise a Moral Child,Robert Coles,1997
1675,The Christmas Orphans,Cathy Sharp,-1
1676,Eric Carle's Treasury of Classic Stories for Children,Eric Carle,1988
1677,High Risk: Children Without A Conscience,Ken Magid,1987
1678,"Collecting Children's Books: Art, Memories, Values",Noah Fleisher,2015
1679,Getting Your Hands Dirty: How to Teach Your Children to Love Work,Joel Salatin,2010
1680,The Light and the Glory for Children: Discovering God's Plan for America from Christopher Columbus to George Washington,Peter Marshall,-1
1681,The Great Shark Mystery (Boxcar Children Mystery & Activities Specials #20),Gertrude Chandler Warner,2003
1682,"Asperkids: An Insider's Guide to Loving, Understanding, and Teaching Children with Asperger's Syndrome",Jennifer Cook O'Toole,2012
1683,Teaching English to Children in Asia,David  Paul,2003
1684,Be: Biblical Wisdom for Children,L.A. James,-1
1685,"The Ghost in the House: Motherhood, Raising Children, and Struggling with Depression",Tracy Thompson,2006
1686,Starting Over (God Bless the Children #1),Annie Boone,-1
1687,Minecraft: Comic Book Diary of Luis: The Iron Golem Comic Book for Kids: WITH PICTURES (Minecraft Children's Books 1),Sara Kid,-1
1688,"Power Down & Parent Up: Cyber Bullying, Screen Dependence & Raising Tech-Healthy Children",Holli Kenley,-1
1689,The 5 Love Languages of Children/The 5 Love Languages of Teenagers Set,Gary Chapman,2010
1690,Homeopathic Medicine for Children and Infants,Dana Ullman,1992
1691,"The Honeybee Mystery (The Boxcar Children Special, #15)",Gertrude Chandler Warner,2000
1692,Finance 101 for Kids: Money Lessons Children Cannot Afford to Miss,Walter Andal,-1
1693,"Natural Green Home Cleaning For Beginners:Best Innovative Eco-Friendly Cleaning Solutions for Your Home from Kitchen, to Children's Toys, and Even Your Car and Microfiber Cleaning",Ravi Kishore,2013
1694,We Are the Children of the Stars: The Classic that Changed the Way We Look at Aliens,Otto Binder,2013
